Port,longitude,latitude
KINGSVILLE,-82.44,42.01
AMHERSTBURG,-83.06,42.06
WINDSOR,-83.02,42.19
TONAWANDA,-78.53,43.02
BUFFALO,-78.53,42.53
DUNKIRK,-79.2,42.29
ERIE,-80.06,42.09
CONNEAUT,-80.33,41.58
ASHTABULA,-80.48,41.54
FAIRPORT,-81.18,41.46
CLEVELAND,-81.43,41.3
LORAIN,-82.11,41.28
VERMILION,-82.22,41.26
HURON,-82.33,41.24
SANDUSKY,-82.43,41.27
PORT CLINTON,-82.56,41.31
PUT IN BAY,-82.49,41.39
TOLEDO,-83.28,41.42
MONROE,-83.2,41.53
TRENTON,-83.1,42.08
WYANDOTTE,-83.09,42.12
ROUGE RIVER,-83.07,42.17
DETROIT,-83.02,42.2
WALPOLE ISLAND,-82.31,42.37
SOMBRA,-82.29,42.43
COURTRIGHT,-82.28,42.49
SARNIA,-82.25,42.59
POINT EDWARD,-82.25,43
GODERICH,-81.44,43.45
PORT ELGIN,-81.24,44.26
SOUTHAMPTON,-81.23,44.3
TOBERMORY,-81.4,45.16
LIONS HEAD,-81.15,44.59
WIARTON,-81.08,44.45
OWEN SOUND,-80.56,44.35
MEAFORD,-80.36,44.37
THORNBURY,-80.27,44.34
COLLINGWOOD,-80.14,44.3
PENETANGUISHENE,-79.56,44.46
MIDLAND,-79.55,44.45
TIFFIN,-79.51,44.45
PORT MCNICOLL,-79.48,44.45
VICTORIA HARBOUR,-79.49,44.45
WAUBAUSHENE,-79.43,44.46
PORT SEVERN,-79.43,44.48
DEPOT HARBOUR,-80.06,45.19
PARRY SOUND,-80.02,45.2
BYNG INLET,-80.34,45.46
KEY HARBOUR,-80.45,45.53
KILLARNEY,-81.31,45.58
MANITOWANING,-81.48,45.45
SHEGUIANDAH,-81.55,45.54
LITTLE CURRENT,-81.56,45.59
HONORA,-82.1,45.52
KAGAWONG,-82.15,45.55
GORE BAY,-82.28,45.55
MELDRUM BAY,-83.07,45.56
BLIND RIVER,-82.57,46.11
COCKBURN,-83.19,45.57
THESSALON,-83.34,46.15
BRUCE MINES,-83.47,46.17
HILTON,-83.53,46.15
DESBARATS,-83.55,46.2
RICHARDS LANDING,-84.02,46.18
SAULT STE MARIE,-84.21,46.31
ALGONAC,-82.31,42.37
MARINE CITY,-82.3,42.43
ST CLAIR,-82.29,42.49
PORT HURON,-82.26,43
HARBOR BEACH,-82.39,43.51
PORT HOPE,-82.42,43.57
BAY CITY,-83.52,43.36
SAGINAW,-83.56,43.26
ALABASTER,-83.33,44.11
TAWAS CITY,-83.3,44.16
AU SABLE,-83.19,44.24
OSCODA,-83.19,44.25
ALPENA,-83.25,45.04
ROCKPORT,-83.23,45.12
CALCITE,-83.47,45.25
ROGERS CITY,-83.49,45.27
CHEBOYGAN,-84.28,45.39
MACKINAW CITY,-84.43,45.47
MACKINAC ISLAND,-84.37,45.51
ST IGNACE,-84.43,45.51
SAULT STE MARIE,-84.21,46.3
ST. JAMES HARBOR,-85.31,45.44
HARBOR SPRINGS,-84.59,45.26
PETOSKEY,-84.58,45.22
CHARLEVOIX,-85.16,45.19
TRAVERSE CITY,-85.37,44.46
LELAND,-85.46,45.01
FRANKFORT,-86.15,44.38
MANISTEE,-86.19,44.15
LUDINGTON,-86.27,43.57
WHITE LAKE,-86.21,43.23
MUSKEGON,-86.16,43.14
GRAND HAVEN,-86.14,43.04
HOLLAND,-86.08,42.47
SAUGATUCK,-86.12,42.4
SOUTH HAVEN,-86.17,42.24
ST JOSEPH,-86.29,42.07
MICHIGAN CITY,-86.54,41.44
GARY,-87.2,41.37
BUFFINGTON,-87.25,41.38
INDIANA HARBOR,-87.26,41.4
CALUMET HARBOR,-87.31,41.44
CHICAGO,-87.36,41.53
